customer_id,customer_name,gender,date_of_birth,city,state,occupation,account_open_date
1,Aarav 0001,Male,1980-01-01,Mumbai,Maharashtra,Engineer,2018-01-01
2,Vihaan 0002,Female,1980-05-17,Pune,Gujarat,Teacher,2018-01-30
3,Aditya 0003,Male,1980-10-01,Nashik,Karnataka,Doctor,2018-02-28
4,Arjun 0004,Female,1981-02-15,Nagpur,Delhi,Business Owner,2018-03-29
5,Rahul 0005,Male,1981-07-02,Aurangabad,Telangana,Analyst,2018-04-27
6,Rohan 0006,Female,1981-11-16,Nanded,Maharashtra,Manager,2018-05-26
7,Karan 0007,Male,1982-04-02,Parbhani,Gujarat,Accountant,2018-06-24
8,Vivek 0008,Female,1982-08-17,Latur,Karnataka,Developer,2018-07-23
9,Akash 0009,Male,1983-01-01,Kolhapur,Delhi,Consultant,2018-08-21
10,Siddharth 0010,Female,1983-05-18,Solapur,Telangana,Student,2018-09-19
11,Ananya 0011,Male,1983-10-02,Mumbai,Maharashtra,Engineer,2018-10-18
12,Priya 0012,Female,1984-02-16,Pune,Gujarat,Teacher,2018-11-16
13,Sneha 0013,Male,1984-07-02,Nashik,Karnataka,Doctor,2018-12-15
14,Kavya 0014,Female,1984-11-16,Nagpur,Delhi,Business Owner,2019-01-13
15,Isha 0015,Male,1985-04-02,Aurangabad,Telangana,Analyst,2019-02-11
16,Neha 0016,Female,1985-08-17,Nanded,Maharashtra,Manager,2019-03-12
17,Pooja 0017,Male,1986-01-01,Parbhani,Gujarat,Accountant,2019-04-10
18,Riya 0018,Female,1986-05-18,Latur,Karnataka,Developer,2019-05-09
19,Meera 0019,Male,1986-10-02,Kolhapur,Delhi,Consultant,2019-06-07
20,Aditi 0020,Female,1987-02-16,Solapur,Telangana,Student,2019-07-06
21,Aarav 0021,Male,1987-07-03,Mumbai,Maharashtra,Engineer,2019-08-04
22,Vihaan 0022,Female,1987-11-17,Pune,Gujarat,Teacher,2019-09-02
23,Aditya 0023,Male,1988-04-02,Nashik,Karnataka,Doctor,2019-10-01
24,Arjun 0024,Female,1988-08-17,Nagpur,Delhi,Business Owner,2019-10-30
25,Rahul 0025,Male,1989-01-01,Aurangabad,Telangana,Analyst,2019-11-28
26,Rohan 0026,Female,1989-05-18,Nanded,Maharashtra,Manager,2019-12-27
27,Karan 0027,Male,1989-10-02,Parbhani,Gujarat,Accountant,2020-01-25
28,Vivek 0028,Female,1990-02-16,Latur,Karnataka,Developer,2020-02-23
29,Akash 0029,Male,1990-07-03,Kolhapur,Delhi,Consultant,2020-03-23
30,Siddharth 0030,Female,1990-11-17,Solapur,Telangana,Student,2020-04-21
31,Ananya 0031,Male,1991-04-03,Mumbai,Maharashtra,Engineer,2020-05-20
32,Priya 0032,Female,1991-08-18,Pune,Gujarat,Teacher,2020-06-18
33,Sneha 0033,Male,1992-01-02,Nashik,Karnataka,Doctor,2020-07-17
34,Kavya 0034,Female,1992-05-18,Nagpur,Delhi,Business Owner,2020-08-15
35,Isha 0035,Male,1992-10-02,Aurangabad,Telangana,Analyst,2020-09-13
36,Neha 0036,Female,1993-02-16,Nanded,Maharashtra,Manager,2020-10-12
37,Pooja 0037,Male,1993-07-03,Parbhani,Gujarat,Accountant,2020-11-10
38,Riya 0038,Female,1993-11-17,Latur,Karnataka,Developer,2020-12-09
39,Meera 0039,Male,1994-04-03,Kolhapur,Delhi,Consultant,2021-01-07
40,Aditi 0040,Female,1994-08-18,Solapur,Telangana,Student,2021-02-05
41,Aarav 0041,Male,1995-01-02,Mumbai,Maharashtra,Engineer,2021-03-06
